Ship,State,Description,Year
HMSCarlisle,Royal Navy,The 48-gunfourth rateexploded and sank inThe Downswith the loss of 124 of the 128 crew on board.[1],September
Thornton,British East India Company,"TheEast Indiamanwas wrecked atPort Quin,Cornwall.[2]",September
Henrietta Marie,England,"African slave trade: The ship was wrecked on the New Ground Reef, off theMarquesas Keys,Spanish Florida, with the loss of all hands.",September
Padang,Dutch East India Company,Thefrigatewas reported lost while on a voyage fromBataviatoAmboina.[3],February
Amity,Royal Africa Company,"African slave trade: Theslave shipwas wrecked on a reef inDunworley Bay,Ireland, with the loss of all but one of those on board.[4]",December
HMSRoebuck,Royal Navy,"Thefifth ratesprang a leak and sank inClarence Bay,Ascension Island. Her crew survived. They were rescued on 8 April byHastings(East India Company) and three other East India Company vessels.",February
Merestein,Dutch East India Company,"TheEast Indiamanstruck rocks and sank inSaldanha Bayoff Jutten Island, Africa, with the loss of 101 of the 200 people on board.[5]",April
Glocester Frigot,British East India Company,"The ship departed fromPlymouth,DevonforBencoolen,India. No further trace.[6]",September
Dauphin,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 46-gun ship was set afire and destroyed following the battle.",October
Espérance,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 70-gun ship was run ashore and wrecked inVigo Bay.",October
Fort,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 76-gun ship was set afire and destroyed following the battle.",October
Oriflamme,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 64-gun ship was set afire and destroyed following the battle.",October
Prudent,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 60-gun ship was set afire and destroyed following the battle.",October
Santo Cristo del Buen Viaje,Spanish Navy,"War of the Spanish Succession,Battle of Vigo Bay: The ship was sunk during the battle.[7]",October
Sirène,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 60-gun ship was run ashore and wrecked in Vigo Bay.",October
Solide,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 56-gun ship was set afire and destroyed following the battle.",October
Superbe,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 70-gun ship was run ashore and wrecked in Vigo Bay.",October
Voluntaire,French Navy,"War of the Spanish Succession,Battle of Vigo Bay: The 46-gun ship was run ashore in Vigo Bay.",October
Amsterdam,Dutch East India Company,TheVereenigde Oostindische Compagnie (VOC)type pinnace foundered en route toBasrafrom Bombay during a storm. All hands were lost.[8],November
Speaker,John Bowen,"The ship foundered off the east coast ofMauritius. Her 170 crew survived. TheDutch East India Companysold Bowen asloop, theVliegendehart, which they enlarged and sailed away in.[9]",January
Unnamed ship,Dutch Republic,"The ship was wrecked on theGoodwin Sands,Kent,Englandwith the loss of all hands.[1]",November
HMSCanterbury,Royal Navy,Great Storm of 1703: Thestoreshipfoundered offBristolwith the loss of 26 of her crew.[1]Later salvaged and sold.[10],November
HMSEagle,Royal Navy,"Great Storm of 1703: The advice boat sank atSelsey,Sussex. Her crew were rescued.[1]",November
HMSMary,Royal Navy,"The Great Storm at the Goodwin Sands.Great Storm of 1703: Thethird rateship of the line, aSpeaker-classfrigate, was wrecked on theGoodwin Sands,Kent. Only one of the 273 crew on board survived.",November
HMSMortar,Royal Navy,Great Storm of 1703: Thebomb vesselwas wrecked on theDutchcoasts.[1],November
HMSNewcastle,Royal Navy,"Great Storm of 1703: Thefourth ratefrigatewas wrecked atSpithead,Hampshire, with the loss of 229 of her crew.",November
HMSNorthumberland,Royal Navy,Great Storm of 1703: Thethird rateship of the linewas wrecked on the Goodwin Sands with the loss of all 253 of her crew.,November
HMSPortsmouth,Royal Navy,Great Storm of 1703: Thebomb vesselfoundered at theNorewith the loss of 44 of her crew.[1],November
HMSReserve,Royal Navy,"Great Storm of 1703: Thefourth ratefrigatefoundered in theNorth SeaoffGreat Yarmouth,Norfolk, with the loss of all but one of her 270 crew.",November
HMSResolution,Royal Navy,"Great Storm of 1703: Thethird rateship of the linewas abandoned offPevensey,Sussex. Her crew survived.",November
HMSRestoration,Royal Navy,Great Storm of 1703: Thethird rateship of the linewas wrecked on the Goodwin Sands with the loss of all 387 of her crew.,November
HMSStirling Castle,Royal Navy,Great Storm of 1703: Thethird rateship of the linewas wrecked on the Goodwin Sands with the loss of all but 70 of her 349 crew.,November
HMSVanguard,Royal Navy,"Great Storm of 1703: Thesecond rateship of the linesank atChatham Dockyard, Kent. She was refloated in 1704, rebuilt and relaunched in 1710.",November
HMSVigo,Royal Navy,Great Storm of 1703: Thefourth rateship of the linewas wrecked on theDutchcoast.,November
HMSYork,Royal Navy,"Great Storm of 1703: TheSpeaker-classfrigatesank atHarwich,Essex, with the loss of four of her crew.",November
Two merchant ships,Flag unknown,"Great Storm of 1703: a ship was driven into apinkin The Downs, both vessels foundered.[1]",November
HMSMortar,Royal Navy,Great Storm of 1703: Thebomb vesselran ashore on the Dutch coast.[11],December
Bandera,Spain,"The ship foundered at the mouth of theRiver Avon,Gloucestershire,Englandwith the loss of all hands.",Unknown date
Richard & John,England,The ship foundered at the mouth of the River Avon with the loss of all hands.[12],Unknown date
John and Ann,England,The ship was wrecked nearCardigan.[13],August
Albemarle,British East India Company,"The ship departed on this date. She was subsequently lost at ""Balparro"".[6]",January
Castle Del Ray,unknown,"The ship was driven ashore and sank atSandy Hook,New Jersey,English America.[14]",Unknown date
